113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0321,東吳大學,社會工作學系,國x1.50 英x1.00 公x2.00 數Bx1.00,69,166.50,197.25
0322,東吳大學,音樂學系-鋼琴.聲樂.弦樂.理論作曲,術x2.00 國x1.00 英x1.00 歷x1.00,10,224.56,-----
0323,東吳大學,音樂學系-銅管樂.木管樂.擊樂,術x2.00 國x1.00 英x1.00 歷x1.00,9,232.16,-----
0324,東吳大學,英文學系,英x2.00 國x1.50 歷x1.00,97,147.00,167.40
0325,東吳大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00,74,191.00,198.30
0326,東吳大學,德國文化學系,英x2.00 國x1.50 歷x1.50,31,170.50,-----
0327,東吳大學,數學系,數甲x2.00 英x1.50 國x1.50,19,149.00,178.35
0330,東吳大學,物理學系,物x2.00 數甲x1.50 英x1.00,19,122.50,-----
0331,東吳大學,化學系,化x2.00 數甲x1.50 英x1.00,35,117.00,-----
0332,東吳大學,微生物學系,英x1.25 化x1.00 國x1.00,18,103.75,-----
0333,東吳大學,心理學系,數甲x1.50 英x2.00 國x1.00,19,164.50,-----
0334,東吳大學,法律學系,英x2.00 國x2.00 公x1.50 歷x1.00,88,312.50,-----
0335,東吳大學,經濟學系,數Bx2.00 英x2.00 國x1.50 公x1.00,95,218.50,-----
0336,東吳大學,會計學系,數Bx1.25 英x1.25 公x1.00,82,130.50,131.60
0337,東吳大學,企業管理學系,英x1.00 數Bx1.00 公x1.00,90,97.00,-----
0340,東吳大學,國際經營與貿易學系,英x2.00 數Bx1.50 國x1.00 公x1.00,69,199.00,-----
0341,東吳大學,財務工程與精算數學系,英x2.00 國x2.00 公x1.50,59,189.50,193.10
0342,東吳大學,資訊管理學系,數Bx1.50 英x1.25 公x1.00,57,117.50,-----
0343,東吳大學,資料科學系,數Bx1.50 公x1.00 國x1.00,33,121.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0344,國立政治大學,中國文學系,國x1.50 英x1.25 歷x1.00 地x1.00,42,233.50,239.25
0345,國立政治大學,歷史學系,國x1.00 英x1.00 歷x1.50 社x1.00 地x1.00,21,286.00,292.85
